Colonna1	Colonna2
Pyrodictium delaneyi	species
Pyrodictium occultum	species
Fervidicoccales	order
Fervidicoccaceae	family
Fervidicoccus	genus
Fervidicoccus fontis	species
Fervidicoccus fontis Kam940	no rank
Sulfolobales	order
Sulfolobaceae	family
Acidianus	genus
Acidianus brierleyi	species
Acidianus hospitalis	species
Acidianus hospitalis W1	no rank
Acidianus infernus	species
Acidianus manzaensis	species
Acidianus sulfidivorans	species
Acidianus sulfidivorans JP7	no rank
Candidatus Acidianus copahuensis	species
Candidatus Aramenus	genus
Candidatus Aramenus sulfurataquae	species
Metallosphaera	genus
Metallosphaera cuprina	species
Metallosphaera cuprina Ar-4	no rank
Metallosphaera hakonensis	species
Metallosphaera hakonensis JCM 8857 = DSM 7519	no rank
Metallosphaera sedula	species
Metallosphaera sedula DSM 5348	no rank
Metallosphaera yellowstonensis	species
Metallosphaera yellowstonensis MK1	no rank
Saccharolobus	genus
Saccharolobus caldissimus	species
Saccharolobus shibatae	species
Saccharolobus solfataricus	species
Saccharolobus solfataricus 98/2	no rank
Saccharolobus solfataricus P2	no rank
Stygiolobus	genus
Stygiolobus azoricus	species
Sulfodiicoccus	genus
Sulfodiicoccus acidiphilus	species
Sulfolobus	genus
Sulfolobus acidocaldarius	species
Sulfolobus acidocaldarius DSM 639	no rank
Sulfolobus acidocaldarius N8	no rank
Sulfolobus acidocaldarius Ron12/I	no rank
Sulfolobus acidocaldarius SUSAZ	no rank
Sulfolobus islandicus	species
Sulfolobus islandicus HVE10/4	no rank
Sulfolobus islandicus L.D.8.5	no rank
Sulfolobus islandicus L.S.2.15	no rank
Sulfolobus islandicus LAL14/1	no rank
Sulfolobus islandicus M.14.25	no rank
Sulfolobus islandicus M.16.27	no rank
Sulfolobus islandicus M.16.4	no rank
Sulfolobus islandicus REY15A	no rank
Sulfolobus islandicus Y.G.57.14	no rank
Sulfolobus islandicus Y.N.15.51	no rank
Sulfolobus metallicus	species
Sulfolobus metallicus DSM 6482 = JCM 9184	no rank
Sulfolobus sp. A20	species
Sulfolobus sp. JCM 16833	species
Sulfurisphaera	genus
Sulfurisphaera javensis	species
Sulfurisphaera tokodaii	species
Sulfurisphaera tokodaii str. 7	no rank
Sulfolobales archaeon Acd1	species
Sulfolobales sp. MK5	species
Thermoproteales	order
Thermofilaceae	family
Thermofilum	genus
Thermofilum adornatus	species
Thermofilum pendens	species
Thermofilum pendens Hrk 5	no rank
Thermofilum uzonense	species
Thermoproteaceae	family
Caldivirga	genus
Caldivirga maquilingensis	species
Caldivirga maquilingensis IC-167	no rank
Caldivirga sp. MG_3	species
Pyrobaculum	genus
Pyrobaculum aerophilum	species
Pyrobaculum aerophilum str. IM2	no rank
Pyrobaculum arsenaticum	species
Pyrobaculum arsenaticum DSM 13514	no rank
Pyrobaculum calidifontis	species
Pyrobaculum calidifontis JCM 11548	no rank
Pyrobaculum ferrireducens	species
Pyrobaculum islandicum	species
Pyrobaculum islandicum DSM 4184	no rank
Pyrobaculum neutrophilum	species
Pyrobaculum neutrophilum V24Sta	no rank
Pyrobaculum oguniense	species
Pyrobaculum oguniense TE7	no rank
Pyrobaculum sp. 14b	species
Pyrobaculum sp. M1T	species
Pyrobaculum sp. WP30	species
Thermocladium	genus
Thermocladium sp. ECH_B	species
Thermoproteus	genus
Thermoproteus sp. AZ2	species
Thermoproteus sp. CIS_19	species
Thermoproteus sp. IC-061	species
Thermoproteus sp. IC-062	species
Thermoproteus sp. IC-070	species
Thermoproteus sp. JCHS_4	species
Thermoproteus tenax	species
Thermoproteus tenax Kra 1	no rank
Thermoproteus uzoniensis	species
Thermoproteus uzoniensis 768-20	no rank
Vulcanisaeta	genus
Vulcanisaeta distributa	species
Vulcanisaeta distributa DSM 14429	no rank
Vulcanisaeta moutnovskia	species
Vulcanisaeta moutnovskia 768-28	no rank
Vulcanisaeta sp. AZ3	species
Vulcanisaeta sp. JCM 14467	species
Vulcanisaeta sp. JCM 16159	species
Vulcanisaeta thermophila	species
candidate division YNPFFA	no rank
Crenarchaeota archaeon SCGC AAA471-C03	species
crenarchaeote SCGC AAA261-C22	species
Thaumarchaeota	phylum
Cenarchaeales	order
Cenarchaeaceae	family
Cenarchaeum	genus
Cenarchaeum symbiosum	species
Nitrosopumilales	order
Nitrosopumilaceae	family
Candidatus Nitrosomarinus	genus
Candidatus Nitrosomarinus catalina	species
Nitrosarchaeum	genus
Candidatus Nitrosarchaeum limnium	species
Candidatus Nitrosarchaeum limnium BG20	no rank
Nitrosarchaeum koreense	species
Nitrosarchaeum koreense MY1	no rank
Nitrosopumilus	genus
Candidatus Nitrosopumilus adriaticus	species
Candidatus Nitrosopumilus koreensis	species
Candidatus Nitrosopumilus koreensis AR1	no rank
Candidatus Nitrosopumilus piranensis	species
Candidatus Nitrosopumilus salaria	species
Candidatus Nitrosopumilus salaria BD31	no rank
Candidatus Nitrosopumilus sediminis	species
Nitrosopumilus maritimus	species
Nitrosopumilus maritimus SCM1	no rank
Nitrosopumilus sp. LS_AOA	species
Nitrososphaeria	class
Candidatus Nitrosocaldales	order
Candidatus Nitrosocaldaceae	family
Candidatus Nitrosocaldus	genus
Candidatus Nitrosocaldus cavascurensis	species
Candidatus Nitrosocaldus islandicus	species
Nitrososphaerales	order
Nitrososphaeraceae	family
Candidatus Nitrosocosmicus	genus
Candidatus Nitrosocosmicus exaquare	species
Candidatus Nitrosocosmicus oleophilus	species
Nitrososphaera	genus
Candidatus Nitrososphaera evergladensis	species
Candidatus Nitrososphaera evergladensis SR1	no rank
Candidatus Nitrososphaera gargensis	species
Candidatus Nitrososphaera gargensis Ga9.2	no rank
Nitrososphaera viennensis	species
Nitrososphaera viennensis EN76	no rank
Candidatus Nitrosopelagicus	genus
Candidatus Nitrosopelagicus brevis	species
Nitrosopelagicus sp. REDSEA-S25_B3	species
Nitrosopelagicus sp. REDSEA-S37_B6	species
Candidatus Nitrosotalea	genus
Candidatus Nitrosotalea devanaterra	species
Candidatus Nitrosotenuis	genus
Candidatus Nitrosotenuis aquarius	species
Candidatus Nitrosotenuis chungbukensis	species
Marine Group I	no rank
Marine Group I thaumarchaeote SCGC AAA799-D07	species
Aigarchaeota archaeon SCGC AAA471-A16	species
Aigarchaeota archaeon SCGC AAA471-E14	species
Aigarchaeota archaeon SCGC AAA471-G05	species
Thaumarchaeota archaeon 13_1_40CM_3_50_5	species
Thaumarchaeota archaeon CSP1-1	species
Thaumarchaeota archaeon N4	species
Thaumarchaeota archaeon SCGC AAA282-K18	species
archaeon AArc-Sl	species
archaeon GW2011_AR10	species
archaeon GW2011_AR15	species
archaeon GW2011_AR16	species
archaeon GW2011_AR17	species
archaeon GW2011_AR18	species
archaeon GW2011_AR20	species
Bacteria	superkingdom
Acidobacteria   phylum
Acidobacteriia	class
Acidobacteriales	order
Acidobacteriaceae	family
Acidobacterium	genus
Acidobacterium ailaaui	species
Acidobacterium capsulatum	species
Acidobacterium capsulatum ATCC 51196	no rank
Bryocella	genus
Bryocella elongata	species
Candidatus Koribacter	genus
Candidatus Koribacter versatilis	species
Candidatus Koribacter versatilis Ellin345	no rank
Edaphobacter	genus
Edaphobacter aggregans	species
Edaphobacter aggregans DSM 19364	no rank
Granulicella	genus
Granulicella mallensis	species
Granulicella mallensis MP5ACTX8	no rank
Granulicella pectinivorans	species
Granulicella tundricola	species
Granulicella tundricola MP5ACTX9	no rank
Silvibacterium	genus
Silvibacterium bohemicum	species
Terracidiphilus	genus
Terracidiphilus gabretensis	species
Terriglobus	genus
Terriglobus roseus	species
Terriglobus roseus DSM 18391	no rank
Terriglobus saanensis	species
Terriglobus saanensis SP1PR4	no rank
Acidobacteria bacterium KBS 146	species
Acidobacteriaceae bacterium KBS 83	species
Acidobacteriaceae bacterium KBS 89	species
Acidobacteriaceae bacterium KBS 96	species
Acidobacteriaceae bacterium SBC82	species
Acidobacteriaceae bacterium TAA166	species
Acidobacteriaceae bacterium URHE0068	species
Acidobacteriales bacterium 59-55	species
Bryobacterales	order
Bryobacteraceae	family
Bryobacter	genus
Bryobacter aggregatus	species
Bryobacter aggregatus MPL3	no rank
Solibacteraceae	family
Candidatus Solibacter	genus
Candidatus Solibacter usitatus	species
Candidatus Solibacter usitatus Ellin6076	no rank
Blastocatellia	class
Blastocatellales	order
Pyrinomonadaceae	family
Pyrinomonas	genus
Pyrinomonas methylaliphatogenes	species
Chloracidobacterium	genus
Chloracidobacterium thermophilum	species
Chloracidobacterium thermophilum B	no rank
Holophagae	class
Holophagales	order
Holophagaceae	family
Geothrix	genus
Geothrix fermentans	species
Geothrix fermentans DSM 14018	no rank
Holophaga	genus
Holophaga foetida	species
Thermoanaerobaculia	class
Thermoanaerobaculales	order
Thermoanaerobaculaceae	family
Thermoanaerobaculum	genus
Thermoanaerobaculum aquaticum	species
Vicinamibacteria	class
Vicinamibacteraceae	family
Luteitalea	genus
Luteitalea pratensis	species
Acidobacteria bacterium ADurb.Bin051	species
Acidobacteria bacterium ADurb.Bin340	species
Acidobacteria bacterium Ga0074141	species
Acidobacteria bacterium JGI 0001001-H03	species
Acidobacteria bacterium OLB17	species
Acidobacteria bacterium RBG_13_68_16	species
Acidobacteria bacterium SCN 69-37	species
Aquificae <phylum>	phylum
Aquificae <class>	class
Aquificales	order
Aquificaceae	family
Aquifex	genus
Aquifex aeolicus	species
Aquifex aeolicus VF5	no rank
Aquifex pyrophilus	species
Hydrogenivirga	genus
Hydrogenivirga sp. 128-5-R1-1	species
Hydrogenobacter	genus
Hydrogenobacter thermophilus	species
Hydrogenobacter thermophilus TK-6	no rank
Hydrogenobaculum	genus
Hydrogenobaculum sp. 3684	species
Hydrogenobaculum sp. HO	species
Hydrogenobaculum sp. SHO	species
Hydrogenobaculum sp. SN	species
Hydrogenobaculum sp. Y04AAS1	species
Thermocrinis	genus
Thermocrinis albus	species
Thermocrinis albus DSM 14484	no rank
Thermocrinis minervae	species
Thermocrinis ruber	species
Thermocrinis sp. GBS	species
Aquificales genera incertae sedis	no rank
Thermosulfidibacter	genus
Thermosulfidibacter takaii	species
Thermosulfidibacter takaii ABI70S6	no rank
Hydrogenothermaceae	family
Persephonella	genus
Persephonella marina	species
Persephonella marina EX-H1	no rank
Persephonella sp. IF05-L8	species
Persephonella sp. KM09-Lau-8	species
Sulfurihydrogenibium	genus
Sulfurihydrogenibium azorense	species
Sulfurihydrogenibium azorense Az-Fu1	no rank
Sulfurihydrogenibium sp. YO3AOP1	species
Sulfurihydrogenibium subterraneum	species
Sulfurihydrogenibium subterraneum DSM 15120	no rank
Sulfurihydrogenibium yellowstonense	species
Sulfurihydrogenibium yellowstonense SS-5	no rank
Desulfurobacteriales	order
Desulfurobacteriaceae	family
Desulfurobacterium	genus
Desulfurobacterium indicum	species
Desulfurobacterium sp. TC5-1	species
Desulfurobacterium thermolithotrophum	species
Desulfurobacterium thermolithotrophum DSM 11699	no rank
Thermovibrio	genus
Thermovibrio ammonificans	species
Thermovibrio ammonificans HB-1	no rank
Caldiserica/Cryosericota group	no rank
Caldiserica	phylum
Caldisericia	class
Caldisericales	order
Caldisericaceae	family
Caldisericum	genus
Caldisericum exile	species
Caldisericum exile AZM16c01	no rank
Calditrichaeota	phylum
Calditrichae	class
Calditrichales	order
Calditrichaceae	family
Caldithrix	genus
Caldithrix abyssi	species
Caldithrix abyssi DSM 13497	no rank
Chrysiogenetes <phylum>	phylum
Chrysiogenetes <class>	class
Chrysiogenales	order
Chrysiogenaceae	family
Chrysiogenes	genus
Chrysiogenes arsenatis	species
Chrysiogenes arsenatis DSM 11915	no rank
Desulfurispirillum	genus
Desulfurispirillum indicum	species
Desulfurispirillum indicum S5	no rank
Coprothermobacterota	phylum
Coprothermobacteria	class
Coprothermobacterales	order
Coprothermobacteraceae	family
Coprothermobacter	genus
Coprothermobacter platensis	species
Coprothermobacter platensis DSM 11748	no rank
Coprothermobacter proteolyticus	species
Coprothermobacter proteolyticus DSM 5265	no rank
Deferribacteres <phylum>	phylum
Deferribacteres <class>	class
Deferribacterales	order
Deferribacteraceae	family
Calditerrivibrio	genus
Calditerrivibrio nitroreducens	species
Calditerrivibrio nitroreducens DSM 19672	no rank
Deferribacter	genus
Deferribacter desulfuricans	species
Deferribacter desulfuricans SSM1	no rank
Denitrovibrio	genus
Denitrovibrio acetiphilus	species
Denitrovibrio acetiphilus DSM 12809	no rank
Flexistipes	genus
Flexistipes sinusarabici	species
Flexistipes sinusarabici DSM 4947	no rank
Geovibrio	genus
Geovibrio sp. L21-Ace-BES	species
Mucispirillum	genus
Mucispirillum schaedleri	species
Mucispirillum schaedleri ASF457	no rank
Deferribacterales bacterium Deferri_01	species
Dictyoglomi <phylum>	phylum
Dictyoglomia	class
Dictyoglomales	order
Dictyoglomaceae	family
Dictyoglomus	genus
Dictyoglomus thermophilum	species
Dictyoglomus thermophilum H-6-12	no rank
Dictyoglomus turgidum	species
Dictyoglomus turgidum DSM 6724	no rank
Elusimicrobia <phylum>	phylum
Elusimicrobia <class>	class
Elusimicrobiales	order
Elusimicrobiaceae	family
Elusimicrobium	genus
Elusimicrobium minutum	species
Elusimicrobium minutum Pei191	no rank
Endomicrobia	class
Endomicrobiales	order
Endomicrobiaceae	family
Endomicrobium	genus
Candidatus Endomicrobium sp. MdDo-005	species
Candidatus Endomicrobium sp. MdMp-027	species
Candidatus Endomicrobium trichonymphae	species
Endomicrobium proavitum	species
Elusimicrobia bacterium ADurb.Bin231	species
Elusimicrobia bacterium CG1_02_56_21	species
Elusimicrobia bacterium GWA2_69_24	species
Elusimicrobia bacterium RIFCSPHIGHO2_02_FULL_61_10	species
Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12	species
Elusimicrobia bacterium RIFOXYA2_FULL_39_19	species
Elusimicrobia bacterium RIFOXYB1_FULL_48_9	species
Elusimicrobia bacterium RIFOXYD12_FULL_66_9	species
FCB group	no rank
Bacteroidetes/Chlorobi group	no rank
Bacteroidetes <phylum>	phylum
Bacteroidetes Order II. Incertae sedis	order
Rhodothermaceae	family
Rhodothermus	genus
Rhodothermus marinus	species
Rhodothermus marinus DSM 4252	no rank
Rhodothermus marinus JCM 9785	no rank
Rhodothermus marinus SG0.5JP17-172	no rank
Rhodothermus profundi	species
Salinibacter	genus
Salinibacter ruber	species
Salinibacter ruber DSM 13855	no rank
Salinibacter ruber M8	no rank
Salinibacter sp. J07SB67	species
Salisaeta	genus
Salisaeta longa	species
Salisaeta longa DSM 21114	no rank
Rhodothermaceae bacterium RA	species
Rhodothermaceae bacterium	species
Bacteroidia	class
Bacteroidales	order
Bacteroidaceae	family
Anaerorhabdus	genus
Anaerorhabdus furcosa	species
Bacteroides <genus>	genus
Bacteroides acidifaciens	species
Bacteroides acidifaciens JCM 10556	no rank
Bacteroides bouchesdurhonensis	species
Bacteroides caccae	species
Bacteroides caccae ATCC 43185	no rank
Bacteroides caecimuris	species
Bacteroides cellulosilyticus	species
Bacteroides cellulosilyticus DSM 14838	no rank
Bacteroides clarus	species
Bacteroides clarus YIT 12056	no rank
Bacteroides congonensis	species
Bacteroides coprocola	species
Bacteroides coprocola DSM 17136	no rank
Bacteroides coprophilus	species
Bacteroides coprophilus DSM 18228 = JCM 13818	no rank
Bacteroides coprosuis	species
Bacteroides coprosuis DSM 18011	no rank
Bacteroides dorei	species
Bacteroides dorei CL03T12C01	no rank
Bacteroides dorei DSM 17855	no rank
Bacteroides eggerthii	species
Bacteroides eggerthii DSM 20697	no rank
Bacteroides faecichinchillae	species
Bacteroides finegoldii	species
Bacteroides finegoldii CL09T03C10	no rank
Bacteroides finegoldii DSM 17565	no rank
Bacteroides fluxus	species
Bacteroides fluxus YIT 12057	no rank
Bacteroides fragilis	species
Bacteroides fragilis 638R	no rank
Bacteroides fragilis NCTC 9343	no rank
Bacteroides fragilis YCH46	no rank
Bacteroides fragilis str. 3397 T10	no rank
Bacteroides fragilis str. 3986T(B)10	no rank
Bacteroides gallinarum	species
Bacteroides gallinarum DSM 18171 = JCM 13658	no rank
Bacteroides graminisolvens	species
Bacteroides graminisolvens DSM 19988 = JCM 15093	no rank
Bacteroides helcogenes	species
Bacteroides helcogenes P 36-108	no rank
Bacteroides heparinolyticus	species
Bacteroides ihuae	species
Bacteroides ilei	species
Bacteroides intestinalis	species
Bacteroides intestinalis DSM 17393	no rank
Bacteroides luti	species
Bacteroides mediterraneensis	species
Bacteroides ndongoniae	species
Bacteroides neonati	species
Bacteroides nordii	species
Bacteroides nordii CL02T12C05	no rank
Bacteroides oleiciplenus	species
Bacteroides oleiciplenus YIT 12058	no rank
Bacteroides ovatus	species
Bacteroides ovatus ATCC 8483	no rank
Bacteroides ovatus V975	no rank
Bacteroides ovatus str. 3725 D9 iii	no rank
Bacteroides paurosaccharolyticus	species
Bacteroides paurosaccharolyticus JCM 15092	no rank
Bacteroides plebeius	species
Bacteroides plebeius DSM 17135	no rank
Bacteroides propionicifaciens	species
Bacteroides propionicifaciens DSM 19291 = JCM 14649	no rank
Bacteroides pyogenes	species
Bacteroides pyogenes F0041	no rank
Bacteroides pyogenes JCM 6292	no rank
Bacteroides reticulotermitis	species
Bacteroides reticulotermitis JCM 10512	no rank
Bacteroides rodentium	species
Bacteroides rodentium JCM 16496	no rank
Bacteroides salanitronis	species
Bacteroides salanitronis DSM 18170	no rank
Bacteroides salyersiae	species
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	no rank
Bacteroides sartorii	species
Bacteroides sartorii JCM 17136 = DSM 21941	no rank
